index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse_all_share,post_super_thursday,joint,path,0,0.007674169113485067,-0.0004504289584177244,0.00034442335101885407,-0.0004504289584177244,0.00034442335101885407,0.03877288463354345,2679
ftse_all_share,post_super_thursday,joint,path,5,0.007674169113485067,0.0012068212453080266,0.0006494705963413611,0.0012068212453080266,0.0006494705963413611,0.7189370452616546,2674
ftse_all_share,post_super_thursday,joint,path,10,0.007674169113485067,0.000748389167297184,0.0014045370908625384,0.000748389167297184,0.0014045370908625384,0.563835994569801,2669
ftse_all_share,post_super_thursday,joint,path,20,0.007674169113485067,0.0005547174286663433,0.0009535681771020517,0.0005547174286663433,0.0009535681771020517,0.8282476107900589,2659
ftse_all_share,post_super_thursday,joint,qe,0,0.008076049472597983,-0.00015330155617025143,0.00048810944244216025,-0.00015330155617025143,0.00048810944244216025,0.10438868886616597,2679
ftse_all_share,post_super_thursday,joint,qe,5,0.008076049472597983,-0.0008579224780483173,0.001259980529407225,-0.0008579224780483173,0.001259980529407225,0.15555300398365549,2674
ftse_all_share,post_super_thursday,joint,qe,10,0.008076049472597983,3.44962835191566e-05,0.0006973432055982237,3.44962835191566e-05,0.0006973432055982237,0.5767869449325993,2669
ftse_all_share,post_super_thursday,joint,qe,20,0.008076049472597983,-0.001398794574863305,0.0018195401737981039,-0.001398794574863305,0.0018195401737981039,0.05622560199421914,2659
ftse_all_share,post_super_thursday,joint,target,0,0.0071902210892738445,-0.00041059463749773734,-0.0004301437959327304,-0.00041059463749773734,-0.0004301437959327304,0.9463833019467459,2679
ftse_all_share,post_super_thursday,joint,target,5,0.0071902210892738445,-0.00047119171621532965,-0.0016888424720753511,-0.00047119171621532965,-0.0016888424720753511,0.11482264486675975,2674
ftse_all_share,post_super_thursday,joint,target,10,0.0071902210892738445,-0.0010669957418689285,-0.002030372301984146,-0.0010669957418689285,-0.002030372301984146,0.2441171684378275,2669
ftse_all_share,post_super_thursday,joint,target,20,0.0071902210892738445,-0.0009255033170464769,-0.0018108200068042305,-0.0009255033170464769,-0.0018108200068042305,0.5286780944540965,2659
