index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,full,joint,path,0,-0.03902889900154567,0.03821059714405285,0.3070575899288652,-0.11392166940388926,0.035863871400797914,0.04534377760420161,0.0324692184295545,0.16255921629227899,-0.018295890517725205,0.10898344572612842,-1.964035705963936,0.049525951298301084,7269,0.013034516221601677,12
ftse250,full,joint,path,1,-0.018851796670883606,0.05019448362642588,0.707232827827734,-0.11723298457867833,0.07952939123691112,0.028124142585235882,0.045998098098800906,0.5409217748866447,-0.0620321296884139,0.11828041485888566,-0.7834189099524739,0.433381155199663,7268,0.010079739710208813,12
ftse250,full,joint,path,2,-0.03951732695192279,0.054502528988260794,0.46841833688582624,-0.14634228376891395,0.06730762986506836,0.006513797775486797,0.05997802874295596,0.9135173293357817,-0.11104313856070688,0.12407073411168049,-0.6592817503922318,0.5097148591711982,7267,0.005335391743856999,12
ftse250,full,joint,path,3,0.022258678906841658,0.06640774351687241,0.7374878150754984,-0.10790049838622826,0.15241785619991158,0.058347132706043955,0.06273580144576163,0.3523476681244879,-0.06461503812764884,0.18130930353973673,-0.41377995360185377,0.6790352663421599,7266,0.005371503532081046,12
ftse250,full,joint,path,4,0.03653828963923428,0.07674012743551759,0.6339816469171504,-0.11387236013438018,0.18694893941284874,0.08077171865186247,0.07123540415147521,0.2568489005403214,-0.058849673485028925,0.22039311078875387,-0.40780569553515517,0.6834163318260598,7265,0.005017704426296343,12
ftse250,full,joint,path,5,0.053072286171390676,0.0918425212093536,0.563357416093091,-0.12693905539894237,0.23308362774172373,0.070407345835672,0.09237556784539859,0.4459491215006548,-0.11064876714130924,0.25146345881265325,-0.1313097524208799,0.895530277275872,7264,0.004093281840414242,12
ftse250,full,joint,path,6,0.03423664619499417,0.08816753205806799,0.6977840208819412,-0.1385717166388191,0.20704500902880743,0.02297644654133913,0.1041615300346533,0.8254157652681224,-0.18118015232658133,0.22713304540925958,0.0912703520577908,0.9272777752693955,7263,0.004121357774392376,12
ftse250,full,joint,path,7,-0.0023371724349168124,0.10220697546519111,0.9817563205587302,-0.2026628443466914,0.19798849947685776,0.03969912808935063,0.11363441503736986,0.7268203217491338,-0.1830243253838943,0.26242258156259557,-0.32590965072578776,0.7444927137956974,7262,0.004287432344662778,12
ftse250,full,joint,path,8,0.046196013042437985,0.10485696897435899,0.6595300001305812,-0.15932364614730565,0.2517156722321816,0.08580536647888362,0.11474881244878439,0.4546007562567407,-0.13910230592073378,0.310713038878501,-0.2998106824703564,0.7643215665202387,7261,0.004374316539499712,12
ftse250,full,joint,path,9,0.0396438311817556,0.1056485916689123,0.7074801988856357,-0.1674274084893125,0.2467150708528237,0.10911036221248258,0.11841011395862394,0.3568095285076067,-0.12297346114642035,0.3411941855713855,-0.5486327645900174,0.5832574959290778,7260,0.004730534921871921,12
