index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse100,pre_2009,single,path,0,-0.08617783401487789,0.05678940492611799,0.12914088425566142,-0.19748506767006913,0.02512939964031337,-0.0728083823970252,0.045290291388034816,0.10792421569761163,-0.16157735351757344,0.015960588723523045,-0.18580821429522557,0.8525951626360637,2969,0.02257590383876429,8
ftse100,pre_2009,single,path,1,-0.006157501391998181,0.06357897652935358,0.9228470462081181,-0.1307722953895312,0.11845729260553484,-0.07747009276477282,0.0642685279362488,0.22804406328458893,-0.20343640751982048,0.04849622199027484,0.7909397986783558,0.42897912256964155,2969,0.02444829069515464,8
ftse100,pre_2009,single,path,2,-0.017509367629686606,0.077304681526877,0.8208139951434503,-0.16902654342236553,0.13400780816299232,-0.1405409927244202,0.10796438946270247,0.1930070912661731,-0.35215119607131706,0.07106921062247665,0.9269003465880968,0.3539782772550516,2969,0.022800150183651557,8
ftse100,pre_2009,single,path,3,-0.05957818683905918,0.08285166619908642,0.4720826262953445,-0.22196745258926856,0.10281107891115018,-0.044242972467514796,0.07376539778242652,0.548653205689166,-0.1888231521210708,0.1003372071860412,-0.136738432210344,0.8912375503223436,2969,0.015521277580065052,8
ftse100,pre_2009,single,path,4,-0.14908475352775122,0.10216461957193244,0.14449353128794254,-0.34932740788873884,0.051157900833236375,-0.0543538647785737,0.06547491479709892,0.4064551525900725,-0.18268469778088758,0.07397696822374017,-0.7696536997556901,0.4415053417438244,2969,0.020401881358726337,8
ftse100,pre_2009,single,path,5,-0.13055015100886067,0.10386907624018392,0.20879992826490945,-0.3341335404396212,0.07303323842189982,-0.14770121710866316,0.09928078523423137,0.1368268574619661,-0.34229155616775664,0.046889121950430324,0.11994806207040391,0.9045242912593366,2969,0.019532184081514803,8
ftse100,pre_2009,single,path,6,-0.14195168295271243,0.10857455869860523,0.1910728177239358,-0.3547578180019787,0.0708544520965538,-0.19916927850974406,0.12685726803088052,0.11640893533832979,-0.44780952385026984,0.049470966830781754,0.34458540730704357,0.7304060779087498,2969,0.013583397435256384,8
ftse100,pre_2009,single,path,7,-0.1973357087059601,0.1278342597588708,0.12266489049042545,-0.4478908578333469,0.053219440421426706,-0.14960670818443525,0.1103037045307853,0.1749985636151935,-0.3658019690647744,0.06658855269590391,-0.28526425369442543,0.7754416969572858,2969,0.008359998062237528,8
ftse100,pre_2009,single,path,8,-0.11706724267936304,0.1409473676207919,0.40621423241871935,-0.3933240832161152,0.15918959785738912,-0.03505921400191006,0.07828037938093106,0.6542490444554887,-0.18848875758853495,0.11837032958471483,-0.5031737139917626,0.614842144036422,2969,0.007106195447317165,8
ftse100,pre_2009,single,path,9,-0.14624549712518767,0.15148775998963548,0.33434710049873484,-0.4431615067048732,0.1506705124544979,-0.03197581188158914,0.08632868497693251,0.711087347772818,-0.20118003443637683,0.13722841067319858,-0.647491025535915,0.5173142009462842,2969,0.0072964550801910555,8
ftse100,pre_2009,single,path,10,-0.1793697094040686,0.15945897541119725,0.26064654025852796,-0.4919093012100152,0.133169882401878,-0.042105144456043825,0.10634316780642168,0.692151854241126,-0.2505377533566303,0.16632746444454266,-0.7201553936336186,0.47142932465902365,2969,0.0068664227246634235,8
ftse100,pre_2009,single,path,11,-0.24257486360388936,0.16712741438959744,0.14665829528377275,-0.5701445958075003,0.0849948685997216,-0.01694487868493316,0.11466699092767367,0.8825205868890796,-0.24169218090317354,0.20780242353330722,-1.1110721058957815,0.2665373134253418,2969,0.0068345475156186275,8
ftse100,pre_2009,single,path,12,-0.19476309329612299,0.1612519474420963,0.22711706472062265,-0.5108169102826318,0.12129072369038577,-0.0427150815244916,0.13537606564223748,0.7523599971940235,-0.3080521701832771,0.22262200713429386,-0.7181523726143046,0.4726633407478945,2969,0.0074306883593685535,8
ftse100,pre_2009,single,path,13,-0.11902535017513137,0.17397131637667515,0.4938700206717147,-0.46000913027341467,0.2219584299231519,-0.06137900729021649,0.13929740829759646,0.6594788519999523,-0.33440192755350556,0.21164391297307256,-0.25639668930906256,0.797644543989389,2969,0.007713733599133077,8
ftse100,pre_2009,single,path,14,-0.11828876289360565,0.19602278358481806,0.5462133917781542,-0.5024934187198491,0.26591589293263773,-0.1234160287360065,0.12015883780746688,0.30436990533546715,-0.3589273508386416,0.11209529336662856,0.022003666942827148,0.9824450304496848,2969,0.007942961768550028,8
ftse100,pre_2009,single,path,15,-0.10476719462042268,0.17474328676221926,0.548806723493924,-0.4472640366743724,0.2377296474335271,-0.06415254759545495,0.09842082705158496,0.5145180576936625,-0.2570573686165615,0.12875227342565154,-0.19875213660193541,0.8424566383918294,2969,0.007535035896359066,8
ftse100,pre_2009,single,path,16,-0.09031980754005448,0.17457184252606678,0.6048916073089273,-0.43248061889114536,0.2518410038110364,-0.0035618396383146193,0.11492781047737546,0.9752759409464398,-0.2288203481739705,0.2216966688973413,-0.4104989713905521,0.6814399578856043,2969,0.008783453118859086,8
ftse100,pre_2009,single,path,17,-0.21809953417296468,0.17314010367922175,0.20778814062249984,-0.5574541373842393,0.12125506903830996,0.0674592759453446,0.1160904528852855,0.5611782033933425,-0.16007801170981498,0.2949965636005042,-1.3659164933312682,0.17196517530756805,2969,0.00988193867889453,8
ftse100,pre_2009,single,path,18,-0.2684883418151393,0.1744690147719234,0.123831545209176,-0.6104476107681092,0.07347092713783054,0.11730320939461844,0.10494613104140074,0.2636751191190233,-0.08839120744652701,0.3229976262357639,-1.8671051433331545,0.06188690631787991,2969,0.011260320186950667,8
ftse100,pre_2009,single,path,19,-0.28075222013098505,0.18691243109182137,0.13308363957742694,-0.6471005850709549,0.08559614480898481,0.12848054738239112,0.11677004109082298,0.27120713483884684,-0.10038873315562191,0.35734982792040415,-1.810603385392716,0.07020226778777787,2969,0.010977855319480812,8
ftse100,pre_2009,single,path,20,-0.26536570353357225,0.20455938040506533,0.19454342099551858,-0.6663020891275002,0.13557068206035577,0.07313418796765321,0.1279534337905895,0.5676141516621215,-0.1776545422619022,0.3239229181972086,-1.3693367881513439,0.17089402351685612,2969,0.010467702257805245,8
